,Country,ISO3,Year,AC,Source,CDD,GDP
3,Netherlands,NLD,2011,0.11,oecd,42.97206,52594.2290064164
68,Nicaragua,NIC,2001,0.0136,gdl,2820.91624,3989.20876185404
69,Niger,NER,2012,0.0077,gdl,3913.68499,1075.1459821809
72,Nigeria,NGA,2018,0.0312,gdl,3215.75628,5089.77763402092
73,North Macedonia,MKD,2011,0.2759,gdl,427.59974,13807.4992214832
77,Pakistan,PAK,2018,0.0957,gdl,2793.23403,5113.43429232337
78,Palestine,PSE,2014,0.169,gdl,1392.54288,5967.07343700875
79,Paraguay,PRY,2002,0.1308,gdl,2034.45685,8515.94666738008
80,Philippines,PHL,2017,0.1438,gdl,3196.07658,8001.75648006143
118,Saudi Arabia,SAU,2018,0.63,iea,3591.2301,47714.1125767155
88,Senegal,SEN,2017,0.0201,gdl,3355.04359,3259.19257987366
91,Serbia,SRB,2014,0.3343,gdl,342.49644,15226.3486541776
123,South Africa,ZAF,2018,0.06,iea,761.20591,13990.314892777
117,South Korea,KOR,2018,0.86,iea,809.57851,41965.890535091
4,Spain,ESP,2011,0.54,oecd,645.73456,36883.3229775247
81,St. Lucia,LCA,2012,0.0663,gdl,3128.35671,14679.9943867134
93,Sudan,SDN,2008,0.0411,gdl,3889.38392,4993.87109375
5,Sweden,SWE,2011,0.2,oecd,33.84952,48947.4393112155
95,Tajikistan,TJK,2017,0.2113,gdl,881.8878,3236.43934350302
97,Thailand,THA,2017,0.2817,gdl,3454.41183,17008.0384242563
98,Trinidad and Tobago,TTO,2006,0.1172,gdl,3075.67231,26162.6444225462
99,Tunisia,TUN,2012,0.2272,gdl,1458.13884,10428.9745239402
104,Turkmenistan,TKM,2015,0.7393,gdl,1575.1589,12540.2838757783
102,Türkiye,TUR,2013,0.1864,gdl,687.69069,23912.732066547
106,Ukraine,UKR,2012,0.1073,gdl,489.52299,12985.0869140625
116,United States,USA,2018,0.9,iea,1008.77069,61348.4565959474
107,Uruguay,URY,2013,0.287,gdl,610.25351,22077.4483014673
110,Vietnam,VNM,2014,0.1498,gdl,2813.03188,7641.90925242922
114,Zambia,ZMB,2018,0.0199,gdl,1483.0408,3425.94893622826
